question_id,question,ideal_answer,topic,difficulty
ML024,"What is the difference between multi-collinearity and structural collinearity, and how does it impact a linear regression model's variance?","Multi-collinearity occurs when independent variables are highly correlated. It inflates the variance of coefficient estimates, making them highly sensitive to minor data changes and destroying model interpretability.",Machine Learning,Hard
ML025,Explain the mathematical foundation of the Naive Bayes classifier and why it is called 'naive'.,"It uses Bayes' Theorem to calculate posterior probabilities, but it is called 'naive' because it assumes that all features are conditionally independent given the class label, which rarely holds true in reality.",Machine Learning,Hard
ML026,How does the SMOTE algorithm handle severe class imbalance at a structural level?,"SMOTE synthesizes new data points for the minority class by selecting a minority sample, finding its k-nearest minority neighbors, and interpolating new points along the line segments joining them.",Machine Learning,Hard
ML027,Explain the difference between L-BFGS and SGD optimization algorithms in parametric machine learning models.,"SGD updates weights iteratively using small random mini-batches based on first-order gradients, while L-BFGS is a quasi-Newton method that approximates second-order derivatives (Hessian) using limited memory for faster convergence.",Machine Learning,Hard
ML028,What is structural risk minimization (SRM) and how does it differ from empirical risk minimization (ERM)?,"ERM minimizes error exclusively on the training data, while SRM minimizes an upper bound on the expected generalization error by balancing training error against model capacity (VC dimension).",Machine Learning,Hard
ML029,Explain how Principal Component Analysis (PCA) performs dimensionality reduction using eigendecomposition.,"PCA computes the covariance matrix of the data, finds its eigenvectors and eigenvalues, and projects the data onto the eigenvectors with the largest eigenvalues to maximize retained variance.",Machine Learning,Hard
ML030,What are the exact criteria used by XGBoost for tree splitting compared to standard Gradient Boosting?,XGBoost uses a regularized objective function that includes L1 and L2 penalties on leaf weights and optimizes splits by maximizing a specific gain metric derived from first-order (gradient) and second-order (Hessian) Taylor expansions.,Machine Learning,Hard
DL001,What is an artificial neural network (ANN)?,"An artificial neural network is a computational model inspired by biological brains, consisting of interconnected layers of nodes (neurons) that process inputs to generate predictions.",Deep Learning,Easy
DL002,What is the role of an activation function in a neural network?,"Activation functions introduce non-linear properties to the network, allowing it to learn and model complex, non-linear relationships within the data.",Deep Learning,Easy
DL003,Explain the concept of forward propagation.,"Forward propagation is the process where input data passes forward through the network's layers, undergoing matrix multiplications and activation functions to produce a final output.",Deep Learning,Easy
DL004,What is backpropagation?,Backpropagation is an algorithm that calculates the gradient of the loss function with respect to the network's weights and biases by working backward from the output layer to the input layer.,Deep Learning,Easy
DL005,What is a perceptron?,"A perceptron is the simplest form of a neural network neuron, taking multiple binary inputs, applying weights, summing them, and passing them through a step function to produce a binary output.",Deep Learning,Easy
DL006,What does 'epoch' mean in neural network training?,An epoch represents one complete pass of the entire training dataset forward and backward through the neural network.,Deep Learning,Easy
DL007,Define the term 'learning rate' in deep learning.,The learning rate is a hyperparameter that controls the step size taken by the optimization algorithm at each iteration while moving toward a minimum of the loss function.,Deep Learning,Easy
DL008,What is a Convolutional Neural Network (CNN) primarily used for?,CNNs are primarily used for image processing and computer vision tasks because they can automatically extract spatial feature hierarchies using convolutional layers.,Deep Learning,Easy
DL009,What is the difference between a dense layer and a sparse layer?,"A dense (fully connected) layer has connections from every neuron in the previous layer to every neuron in the current layer, whereas a sparse layer omits many of these connections.",Deep Learning,Easy
DL010,What is the purpose of the Softmax activation function?,Softmax converts a vector of raw numerical scores (logits) into a probability distribution where all values range between 0 and 1 and sum up to 1.,Deep Learning,Easy
DL011,Explain the vanishing gradient problem and name a common mitigation technique.,"The vanishing gradient problem occurs when gradients shrink exponentially as they backpropagate through deep layers, halting weight updates. It is mitigated by using ReLU activations or residual connections.",Deep Learning,Medium
DL012,How does Dropout regularization work during training and testing?,"During training, Dropout randomly deactivates a fraction of neurons at each step to prevent co-adaptation. During testing, all neurons are active, but their outputs are scaled down by the dropout rate.",Deep Learning,Medium
DL013,What is the specific architectural advantage of a Recurrent Neural Network (RNN) over a standard Feedforward Network?,"RNNs possess internal loops that allow information to persist, enabling them to process sequential data of variable lengths by maintaining a hidden state across time steps.",Deep Learning,Medium
DL014,Compare the Max Pooling and Average Pooling operations in CNNs.,"Max Pooling extracts the maximum value from a feature map sub-region, emphasizing prominent features like edges, while Average Pooling computes the mean value, smoothing out spatial details.",Deep Learning,Medium
DL015,"What problem does the Long Short-Term Memory (LSTM) network solve, and how?","LSTM solves the long-term dependency and vanishing gradient problems in standard RNNs by introducing a memory cell and three gating mechanisms (input, forget, output) to regulate information flow.",Deep Learning,Medium
DL016,"Explain the difference between Batch Gradient Descent, Stochastic Gradient Descent, and Mini-batch Gradient Descent.","Batch GD computes gradients using the entire dataset, Stochastic GD uses a single random sample per update, and Mini-batch GD balances both by calculating gradients over small, fixed-size data subsets.",Deep Learning,Medium
DL017,"What is Batch Normalization, and why is it beneficial?","Batch Normalization normalizes the layer inputs across a mini-batch to have zero mean and unit variance. This stabilizes training, reduces internal covariate shift, and allows higher learning rates.",Deep Learning,Medium
DL018,Describe the core concept behind Transfer Learning.,"Transfer learning involves taking a model pre-trained on a large source dataset (e.g., ImageNet) and fine-tuning its learned feature representations on a different but related target task with less data.",Deep Learning,Medium
DL019,What is the purpose of the Leaky ReLU activation function compared to standard ReLU?,"Leaky ReLU prevents the 'dying ReLU' problem by allowing a small, non-zero constant gradient (e.g., 0.01) when the input is negative, ensuring neurons can still update their weights.",Deep Learning,Medium
DL020,Explain the concept of an Autoencoder and its primary architecture.,"An autoencoder is an unsupervised network designed to learn efficient data codings. It consists of an encoder that compresses input into a low-dimensional bottleneck layer, and a decoder that reconstructs the input.",Deep Learning,Medium
DL021,Explain the Self-Attention mechanism used in Transformer architectures.,"Self-attention computes a dynamic weight distribution across all tokens in a sequence by mapping each token to Query, Key, and Value vectors, calculating the scaled dot-product of Queries and Keys, and using it to aggregate Values.",Deep Learning,Hard
DL022,How does a Generative Adversarial Network (GAN) achieve equilibrium during training?,"A GAN trains a Generator to produce realistic data and a Discriminator to distinguish real from fake data in a zero-sum game, reaching a Nash equilibrium where the Discriminator can only guess with 50% accuracy.",Deep Learning,Hard
DL023,Describe the mathematical purpose of the scaling factor (1/sqrt(d_k)) in Scaled Dot-Product Attention.,"The factor prevents the dot-products from growing extremely large in high dimensions, which would push the Softmax function into regions with extremely small gradients, causing vanishing gradients during backpropagation.",Deep Learning,Hard
DL024,What is the difference between Transposed Convolution and Dilated (Atrous) Convolution?,"Transposed convolution increases spatial dimensions by upsampling features and learning interpolation weights, while dilated convolution expands the receptive field without adding parameters by inserting spaces into the kernel.",Deep Learning,Hard
DL025,Explain the architectural mechanics of Residual Connections (ResNet) and why they enable training of thousand-layer networks.,"Residual connections add the identity input of a block directly to its output layer. This creates a clean gradient highway during backpropagation, bypassing non-linear layers and completely eliminating vanishing gradients.",Deep Learning,Hard
DL026,What is the difference between model parallelism and data parallelism in distributed deep learning training?,"Data parallelism replicates the entire model across multiple workers and splits the mini-batch data among them, while model parallelism splits distinct layers or segments of a single model's architecture across different hardware units.",Deep Learning,Hard
DL027,Explain the core concept of Contrastive Learning and how infoNCE loss optimizes it.,Contrastive learning trains a model to pull representations of positive pairs (similar samples) together and push negative pairs apart. InfoNCE loss treats this as a multi-class classification problem over representations.,Deep Learning,Hard
DL028,Describe the phenomenon of 'posterior collapse' in Variational Autoencoders (VAEs).,"Posterior collapse occurs when the latent variables become independent of the input because a highly powerful decoder learns to reconstruct data using its own autoregressive capabilities, ignoring the latent space entirely.",Deep Learning,Hard
DL029,What is Adam optimization,"and how does it integrate both momentum and adaptive learning rates mathematically?"",Adam combines momentum by tracking the exponentially decaying average of past gradients (first moment) and adaptive learning rates by tracking the exponentially decaying average of past squared gradients (second moment).",Deep Learning,Hard
DL030,Explain the architectural difference between a Vision Transformer (ViT) and a classic CNN in handling spatial inductive bias.,"CNNs have strong localized spatial inductive biases due to localized weight-sharing kernels, whereas ViTs discard this bias entirely by flattening images into patch sequences and using self-attention to learn global relations natively.",Deep Learning,Hard
DS001,"What is the difference between mean, median, and mode?","Mean is the average value computed by summing all elements and dividing by their count, median is the central value of an ordered dataset, and mode is the most frequently occurring value.",Data Science,Easy
DS002,Define the term 'data imputation'.,"Data imputation is the process of replacing missing, null, or corrupted values in a dataset with estimated or substituted statistical metrics like the mean, median, or mode.",Data Science,Easy
DS003,What is the purpose of exploratory data analysis (EDA)?,"EDA is the practice of analyzing and summarizing a dataset's main structural characteristics, distributions, and anomalies, often using visual plots, before performing formal modeling.",Data Science,Easy
DS004,What is an outlier,"and how can it impact statistical analysis?"",An outlier is an extreme data point that deviates significantly from the rest of the dataset; it can skew summary statistics like the mean and inflate variance calculations.",Data Science,Easy
DS005,Explain the difference between qualitative and quantitative data.,"Qualitative data represents descriptive, non-numerical characteristics or attributes, while quantitative data represents measurable numerical values that can be counted or ordered.",Data Science,Easy
DS006,"What is correlation, and how does it differ from causation?","Correlation measures the strength and direction of a linear relationship between two variables, but it does not imply that one variable directly causes changes in the other.",Data Science,Easy
DS007,What is a histogram used for?,A histogram is a graphical representation that organizes a continuous variable into discrete bins to visualize its underlying frequency distribution shape.,Data Science,Easy
DS008,What does standard deviation measure?,Standard deviation measures the average dispersion or spread of a set of data points around their calculated arithmetic mean.,Data Science,Easy
DS009,"What is a box plot, and what are its key components?","A box plot is a standardized visual display summarizing data distributions via a 5-number summary: minimum, first quartile (Q1), median, third quartile (Q3), and maximum.",Data Science,Easy
DS010,Explain the difference between long and wide data formats.,"Wide format stores multiple variables in separate columns for a single observational unit, while long format stacks these variables into key-value columns, creating multiple rows per unit.",Data Science,Easy
DS011,"What is the Central Limit Theorem (CLT), and why is it vital to data science?","The CLT states that the sampling distribution of the sample mean approaches a normal distribution as the sample size becomes large (typically n >= 30), regardless of the population's original distribution shape.",Data Science,Medium
DS012,Explain the difference between Standardization (Z-score normalization) and Min-Max Scaling.,"Standardization transforms data to have a mean of 0 and standard deviation of 1 without bounding range, while Min-Max scaling rescales data into a strict bounded interval, typically between 0 and 1.",Data Science,Medium
DS013,Describe Type I and Type II errors in hypothesis testing.,"A Type I error occurs when a true null hypothesis is rejected (false positive), whereas a Type II error occurs when a false null hypothesis is not rejected (false negative).",Data Science,Medium
DS014,"What is A/B testing, and how do you determine statistical significance?","A/B testing is a randomized experiment comparing two versions (A and B) of a variable. Significance is determined using a statistical hypothesis test (e.g., t-test) to evaluate if the observed metric difference yields a p-value below a threshold (alpha).",Data Science,Medium
DS015,What is the p-value in statistical hypothesis testing?,"A p-value is the probability of obtaining test results at least as extreme as the observed results, assuming that the null hypothesis is true; lower p-values indicate stronger evidence against the null.",Data Science,Medium
DS016,Explain the concept of selection bias and how it can ruin a data analysis study.,"Selection bias occurs when the sample data collected is not representative of the target population due to a non-random sampling method, leading to systematically flawed conclusions.",Data Science,Medium
DS017,How do you handle a dataset where the target variable has a high class imbalance?,"It can be handled using sampling techniques (oversampling the minority class or undersampling the majority), adjusting model class weights, or using evaluation metrics like Precision-Recall AUC instead of accuracy.",Data Science,Medium
DS018,What is the difference between covariance and correlation?,"Covariance indicates the directional relationship of two variables but depends on their measurement scale, whereas correlation is a normalized version of covariance that scales strictly between -1 and 1.",Data Science,Medium
DS019,Explain the difference between descriptive and inferential statistics.,"Descriptive statistics summarize and describe the features of a specific collected dataset, while inferential statistics use sample data to make generalized predictions and conclusions about a larger population.",Data Science,Medium
DS020,What is the difference between absolute error and relative error metrics?,"Absolute error is the raw magnitude of the difference between predicted and actual values, while relative error scales this absolute difference against the actual value, expressing it as a ratio or percentage.",Data Science,Medium
DS021,Explain Simpson's Paradox and provide a real-world scenario where it manifests.,"Simpson's Paradox occurs when a trend appearing in separate groups reverses or disappears when groups are combined. An example is a drug showing a higher success rate than another in separate trials for both severe and mild cases, but a lower rate when aggregated due to uneven group sizing.",Data Science,Hard
DS022,Describe the mathematical difference between the Pearson correlation coefficient and the Spearman rank correlation coefficient.,"Pearson measures the linear relationship between continuous variables based on raw data values, while Spearman measures the monotonic relationship based on the ranked values of the variables, making it robust to non-linearities and outliers.",Data Science,Hard
DS023,What is multi-collinearity,"and how does Variance Inflation Factor (VIF) identify it?"",Multi-collinearity is when independent variables are highly correlated. VIF detects it by regressing each independent variable against all others; a VIF value greater than 5 to 10 indicates severe multicollinearity that destabilizes models.",Data Science,Hard
DS024,Explain the concept of statistical power and how it relates to sample size and effect size.,"Statistical power is the probability of correctly rejecting a false null hypothesis (1 - Beta). It increases as the sample size grows, the effect size becomes larger, or the significance level (alpha) is relaxed.",Data Science,Hard
DS025,What is the difference between Bayesian inference and Frequentist inference?,"Frequentist inference treats parameters as fixed, unknown constants and defines probability as long-run frequencies, while Bayesian inference treats parameters as random variables and updates their probability distributions using prior knowledge and new evidence.",Data Science,Hard
DS026,Describe the family-wise error rate and how the Bonferroni correction controls it during multiple hypothesis testing.,"When testing multiple hypotheses, the probability of encountering a false positive increases. The Bonferroni correction controls this family-wise error rate by dividing the significance threshold (alpha) by the total number of independent tests performed.",Data Science,Hard
DS027,Explain the concept of structural causal models and how Judea Pearl's 'do-calculus' differs from conditional probabilities.,"Conditional probabilities describe passive observations of correlation, whereas Pearl's do-calculus mathematically models active interventions in a system, allowing data scientists to infer causal effects by isolating external manipulations from confounding variables.",Data Science,Hard
DS028,"What is the law of large numbers, and how does it structurally differ from the Central Limit Theorem?",The Law of Large Numbers states that the sample mean converges to the true population mean as sample size grows. The Central Limit Theorem describes the specific normal shape of the distribution of those sample means around the population mean.,Data Science,Hard
DS029,Explain survival analysis and the role of the Kaplan-Meier estimator versus the Cox Proportional Hazards model.,"Survival analysis models the time until an event occurs. The non-parametric Kaplan-Meier estimator calculates the probability of surviving past a time point given censoring, while the semi-parametric Cox model estimates the effect of multiple covariates on the hazard rate.",Data Science,Hard
DS030,Describe the purpose of Principal Coordinate Analysis (PCoA) and how it differs fundamentally from PCA.,"PCA extracts orthogonal axes based on the covariance of raw feature variables, while PCoA (Multidimensional Scaling) takes a custom dissimilarity matrix as input and finds coordinates in a low-dimensional space that preserve those custom distances.",Data Science,Hard
PY001,What is the difference between a list and a tuple in Python?,"Lists are mutable, meaning their elements can be modified, added, or removed, and they use square brackets. Tuples are immutable and use parentheses.",Python,Easy
PY002,How do you create a dictionary in Python?,"A dictionary is created using curly braces with key-value pairs separated by colons, like so: my_dict = {'key': 'value'}.",Python,Easy
PY003,What is the difference between the is operator and the == operator?,"The == operator checks for equality of values between two objects, while the is operator checks for identity, verifying if both variables point to the exact same object in memory.",Python,Easy
PY004,"What are list comprehensions, and why are they used?","List comprehensions provide a concise syntax to create a new list from an existing iterable, offering cleaner readability and faster performance than explicit for-loops.",Python,Easy
PY005,Explain the purpose of the break and continue keywords in loops.,"break terminates the loop entirely, exiting its block, while continue skips the remainder of the current loop iteration and moves directly to the next cycle.",Python,Easy
PY006,What is the difference between local and global variables in Python?,"Local variables are declared inside a function and are only accessible within that scope, whereas global variables are declared outside all functions and can be read throughout the file.",Python,Easy
PY007,How do you handle exceptions in Python?,"Exceptions are handled using a try-except block, where code that might raise an error is placed in the try block, and the recovery logic is defined in the except block.",Python,Easy
PY008,What does the __init__ method do in Python classes?,"The __init__ method acts as a constructor that automatically runs when a new instance of a class is created, initializing the object's attributes.",Python,Easy
PY009,What is the purpose of the range() function?,"The range() function generates an immutable sequence of numbers over a specified interval, commonly used to control loop iterations.",Python,Easy
PY010,How do you add an element to the end of a list in Python?,"An element is added to the end of a list using the .append() method, which modifies the original list in place.",Python,Easy
PY011,Explain the difference between shallow copy and deep copy in Python?,"A shallow copy creates a new object but references the nested objects inside the original. A deep copy creates a new object and recursively duplicates all nested objects inside it, ensuring complete isolation.",Python,Medium
PY012,"What are generators in Python, and how do they differ from regular functions?","Generators are functions that return an iterator using the yield keyword instead of return. They produce values lazily on-the-fly, conserving substantial memory compared to functions that return full lists.",Python,Medium
PY013,"What is a decorator, and how does it work?","A decorator is a design pattern used to modify or extend the behavior of a function or class without altering its source code, achieved by wrapping it in another function.",Python,Medium
PY014,Explain the concept of *args and kwargs in function definitions.,"*args allows a function to accept any number of positional arguments as a tuple, while kwargs allows it to accept any number of keyword arguments as a dictionary.",Python,Medium
PY015,How does memory management work in Python regarding reference counting and garbage collection?,"Python manages memory by tracking the number of references to each object. When an object's reference count drops to zero, it is freed. A cyclical garbage collector handles reference cycles.",Python,Medium
PY016,"What is the Global Interpreter Lock (GIL), and how does it impact multi-threading?","The GIL is a mutex that allows only one thread to execute Python bytecode at a time. It prevents true parallel execution of multiple threads in CPU-bound tasks, making multi-threading effective mainly for I/O-bound tasks.",Python,Medium
PY017,Explain the difference between __str__ and __repr__ dunder methods.,"__str__ provides a user-friendly, readable string representation of an object, while __repr__ provides an unambiguous, detailed string representation primarily intended for debugging and developers.",Python,Medium
PY018,What is the difference between a function and a method in Python?,"A function is a standalone block of code called by its name, while a method is a function associated with an object and explicitly invoked on an instance of a class.",Python,Medium
PY019,"What are context managers, and how do you implement them?",Context managers handle setup and teardown actions for resources (like closing files). They are used via the with statement and implemented using a class with __enter__ and __exit__ methods or via the contextmanager decorator.,Python,Medium
PY020,What is duck typing in Python?,Duck typing is a dynamic typing concept where an object's suitability is determined by the presence of specific methods and properties rather than its explicit class inheritance structure.,Python,Medium
PY021,Explain the difference between a metaclass and a standard class in Python?,"A standard class defines how instances of that class behave, whereas a metaclass defines how classes themselves behave; a metaclass is essentially the class of a class, used to intercept and modify class construction.",Python,Hard
PY022,How does Python resolve method lookup order in complex multiple inheritance scenarios?,"Python resolves it using the C3 Linearization algorithm to compute the Method Resolution Order (MRO), which guarantees a deterministic, monotonic search order while respecting local precedence.",Python,Hard
PY023,Describe the internal mechanics of how a dictionary handles collisions in Python.,"Python dictionaries use open addressing with pseudo-random probing on a hash table. When a collision occurs, it computes a new slot index using a perturbation formula derived from the key's hash value until an empty slot is found.",Python,Hard
PY024,Explain how the asyncio event loop manages concurrent asynchronous execution within a single thread.,"The asyncio event loop maintains a queue of tasks and monitors their states. When an asynchronous task hits an await expression, it yields control back to the event loop, allowing it to run other tasks while waiting for I/O operations.",Python,Hard
PY025,"What are descriptor protocols, and how do they power Python's property decorators?","Descriptors are objects that override attribute access behavior by implementing __get__, __set__, or __delete__ methods. The @property decorator utilizes this protocol to turn an attribute access into a function call.",Python,Hard
PY026,Explain the difference between standard function closures and late binding behaviors inside loops.,"A closure captures variables from its enclosing scope. Late binding means nested functions look up variables when called, so if a closure references a loop variable, it captures the final value of that variable after the loop finishes.",Python,Hard
PY027,Describe how Python's memory allocator (PyMalloc) works for small objects.,"PyMalloc bypasses the standard system allocator for small objects (up to 512 bytes) by organizing memory into fixed-size Arenas, Pools, and Blocks, which minimizes fragmentation overhead and accelerates allocations.",Python,Hard
PY028,How can you safely modify class attributes during creation using the __init_subclass__ method?,"__init_subclass__ is a classmethod called automatically on a base class whenever a new subclass is defined, allowing developers to inject attributes or validate the subclass design without a custom metaclass.",Python,Hard
PY029,Explain the difference between structural subtyping (protocols) and nominal subtyping (ABCs) in Python type hinting.,"Nominal subtyping (ABCs) requires explicit class inheritance to pass type checks, while structural subtyping via typing.Protocol requires only that the target object implements the defined methods, regardless of its class hierarchy.",Python,Hard
PY030,How do weak references (weakref module) prevent memory leaks in cache implementations?,"Weak references allow an application to access an object without incrementing its reference count. This permits the object to be garbage-collected normally when no strong references remain, preventing cache memory bloating.",Python,Hard
SQL001,What is the difference between the WHERE and HAVING clauses?,"The WHERE clause filters individual rows before any data aggregation occurs, whereas the HAVING clause filters aggregated group results after the GROUP BY clause is applied.",SQL,Easy
SQL002,Explain the difference between a primary key and a foreign key.,"A primary key uniquely identifies each record in a specific table and cannot contain null values, while a foreign key links a column to the primary key of another table to maintain relational integrity.",SQL,Easy
SQL003,What is the purpose of the GROUP BY clause?,"The GROUP BY clause groups rows that share identical values in specified columns into summary rows, allowing aggregate functions like SUM, AVG, or COUNT to be calculated per group.",SQL,Easy
SQL004,What is the difference between an INNER JOIN and a LEFT JOIN?,"An INNER JOIN returns only the rows where there is a matching value in both tables, whereas a LEFT JOIN returns all rows from the left table along with matching rows from the right table, filling with NULLs if no match exists.",SQL,Easy
SQL005,What does the UNIQUE constraint enforce in a database table?,The UNIQUE constraint ensures that all values in a designated column or set of columns are completely distinct from one another across all records in that table.,SQL,Easy
SQL006,Explain the purpose of the ORDER BY clause.,The ORDER BY clause is used to sort the result set of a query in either ascending (ASC) or descending (DESC) order based on one or more columns.,SQL,Easy
SQL007,What is the purpose of the SQL aggregate function COUNT()?,"The COUNT() function returns the total number of rows that match a specified query criteria, or the number of non-null values in a specific column.",SQL,Easy
SQL008,What does the NULL value represent in a database?,"A NULL value represents a missing, unknown, unassigned, or inapplicable data value in a column; it is not equivalent to zero or an empty string.",SQL,Easy
SQL009,What is the difference between CHAR and VARCHAR data types?,"CHAR is a fixed-length character data type that pads spaces to fit the specified size, while VARCHAR is a variable-length character type that uses only the exact space needed for the stored string.",SQL,Easy
SQL010,Explain the function of the DISTINCT keyword.,"The DISTINCT keyword is placed immediately after SELECT to eliminate duplicate rows from the query output, returning only unique values.",SQL,Easy
SQL011,What are ACID properties in a database transactional management system?,"ACID stands for Atomicity (all-or-nothing execution), Consistency (maintains schema invariants), Isolation (concurrent transactions don't interfere), and Durability (committed changes survive system failures).",SQL,Medium
SQL012,Explain the difference between a clustered and a non-clustered index.,"A clustered index defines the physical order in which table data is stored on disk (one per table), while a non-clustered index creates a separate pointer structure that maps keys to the physical rows.",SQL,Medium
SQL013,"What are window functions, and how do they differ from regular aggregate functions?","Window functions perform calculations across a set of table rows related to the current row without collapsing them into a single row, maintaining individual row identities while calculating running totals or ranks.",SQL,Medium
SQL014,Explain the difference between the RANK() and DENSE_RANK() window functions.,"RANK() skips rank numbers if there are ties in the ordered sequence (e.g., 1, 2, 2, 4), whereas DENSE_RANK() assigns consecutive rank numbers without skipping values (e.g., 1, 2, 2, 3).",SQL,Medium
SQL015,"What is a Common Table Expression (CTE), and when would you use it?","A CTE is a temporary named result set defined within the execution scope of a single SELECT, INSERT, UPDATE, or DELETE query, used to simplify complex nested subqueries and improve readability.",SQL,Medium
SQL016,"What is a database deadlock, and how does the database engine handle it?","A deadlock occurs when two transactions hold locks on resources the other needs, creating a circular block. The database engine detects this loop and terminates one transaction as a victim to free resources.",SQL,Medium
SQL017,Explain the difference between UNION and UNION ALL operators.,"UNION combines the results of two queries and removes all duplicate rows from the final output, whereas UNION ALL combines the results but retains all duplicates, making it faster to execute.",SQL,Medium
SQL018,"What is a subquery, and what is the difference between a correlated and non-correlated subquery?","A subquery is a query nested inside another. A non-correlated subquery evaluates independently once, while a correlated subquery references columns from the outer query and must execute repeatedly for each row candidate.",SQL,Medium
SQL019,"What are the different transaction isolation levels, and what anomalies do they prevent?","Levels include Read Uncommitted, Read Committed, Repeatable Read, and Serializable. They prevent concurrency anomalies like Dirty Reads, Non-Repeatable Reads, and Phantom Reads in increasing order.",SQL,Medium
SQL020,"What is database normalization, and what is achieved in 3NF?","Normalization structures tables to minimize data redundancy. 3NF is achieved when the table is in 2NF and all non-key attributes are fully dependent only on the primary key, eliminating transitive dependencies.",SQL,Medium
SQL021,Explain how an Upsert operation is executed using the MERGE statement.,"The MERGE statement evaluates a source against a target table using a join condition; it executes an UPDATE or DELETE if a match is found, and executes an INSERT if no match is found, all within a single atomic step.",SQL,Hard
